Station Name,Date,CO
Manama,31/01/2023,0.63
Manama,31/01/2023,0.61
Manama,31/01/2023,0.57
Manama,31/01/2023,0.56
Manama,31/01/2023,0.53
Manama,31/01/2023,0.55
Manama,31/01/2023,0.55
Manama,31/01/2023,0.52
Manama,31/01/2023,0.54
Manama,31/01/2023,0.55
Jurf,01/01/2023,1.729252
Jurf,01/01/2023,2.221688
Jurf,01/01/2023,2.34766
Jurf,01/01/2023,2.23314
Jurf,01/01/2023,2.485084
Jurf,01/01/2023,2.015552
Jurf,01/01/2023,1.88958
Jurf,01/01/2023,1.935388
Jurf,01/01/2023,1.683444
Jurf,01/01/2023,1.122296
Jurf,01/01/2023,0.710024
Jurf,01/01/2023,0.4122719999999999
Jurf,01/01/2023,0.320656
Jurf,01/01/2023,0.251944
Jurf,01/01/2023,0.297752
Jurf,01/01/2023,0.22904
Jurf,01/01/2023,0.3321079999999999
Jurf,01/01/2023,0.435176
Jurf,01/01/2023,0.4122719999999999
Jurf,01/01/2023,0.423724
Jurf,01/01/2023,0.6184080000000001
Jurf,01/01/2023,1.156652
Jurf,01/01/2023,1.511664
Jurf,01/01/2023,0.984872
Jurf,02/01/2023,0.7672840000000001
Jurf,02/01/2023,0.6298600000000001
Jurf,02/01/2023,0.584052
Jurf,02/01/2023,0.51534
Jurf,02/01/2023,0.4695319999999999
Jurf,02/01/2023,0.4008199999999999
Jurf,02/01/2023,0.6298600000000001
Jurf,02/01/2023,0.6756679999999999
Jurf,02/01/2023,0.8130919999999999
Jurf,02/01/2023,0.561148
Jurf,02/01/2023,0.251944
Jurf,02/01/2023,0.183232
Jurf,02/01/2023,0.194684
Jurf,02/01/2023,0.183232
Jurf,02/01/2023,0.160328
Jurf,02/01/2023,0.17178
Jurf,02/01/2023,0.194684
Jurf,02/01/2023,0.263396
Jurf,02/01/2023,0.377916
Jurf,02/01/2023,0.34356
Jurf,02/01/2023,0.251944
Jurf,02/01/2023,0.4122719999999999
Jurf,02/01/2023,0.274848
Jurf,02/01/2023,0.309204
Jurf,03/01/2023,0.251944
Jurf,03/01/2023,0.217588
Jurf,03/01/2023,0.17178
Jurf,03/01/2023,0.148876
Jurf,03/01/2023,0.217588
Jurf,03/01/2023,0.320656
Jurf,03/01/2023,0.355012
Jurf,03/01/2023,0.4122719999999999
Jurf,03/01/2023,0.45808
Jurf,03/01/2023,0.4122719999999999
Jurf,03/01/2023,0.2863
Jurf,03/01/2023,0.194684
Jurf,03/01/2023,0.183232
Jurf,03/01/2023,0.17178
Jurf,03/01/2023,0.148876
Jurf,03/01/2023,0.17178
Jurf,03/01/2023,0.183232
Jurf,03/01/2023,0.22904
Jurf,03/01/2023,0.355012
Jurf,03/01/2023,0.377916
Jurf,03/01/2023,0.34356
Jurf,03/01/2023,0.435176
Jurf,03/01/2023,0.2404919999999999
Jurf,03/01/2023,0.194684
Jurf,04/01/2023,0.355012
Jurf,04/01/2023,0.274848
Jurf,04/01/2023,0.183232
Jurf,04/01/2023,0.183232
Jurf,04/01/2023,0.125972
Jurf,04/01/2023,0.2061359999999999
Jurf,04/01/2023,0.22904
Jurf,04/01/2023,0.309204
Jurf,04/01/2023,0.183232
Jurf,04/01/2023,0.17178
Jurf,04/01/2023,0.17178
Jurf,04/01/2023,0.137424
Jurf,04/01/2023,0.148876
Jurf,04/01/2023,0.148876
Jurf,04/01/2023,0.160328
Jurf,04/01/2023,0.160328
Jurf,04/01/2023,0.17178
Jurf,04/01/2023,0.183232
Jurf,04/01/2023,0.183232
Jurf,04/01/2023,0.251944
Jurf,04/01/2023,0.217588
Jurf,04/01/2023,0.17178
Jurf,04/01/2023,0.17178
Jurf,04/01/2023,0.148876
Jurf,05/01/2023,0.137424
Jurf,05/01/2023,0.11452
Jurf,05/01/2023,0.11452
Jurf,05/01/2023,0.1030679999999999
Jurf,05/01/2023,0.1030679999999999
Jurf,05/01/2023,0.125972
Jurf,05/01/2023,0.183232
Jurf,05/01/2023,0.4008199999999999
Jurf,05/01/2023,0.297752
Jurf,05/01/2023,0.2404919999999999
Jurf,05/01/2023,0.183232
Jurf,05/01/2023,0.183232
Jurf,05/01/2023,0.17178
Jurf,05/01/2023,0.17178
Jurf,05/01/2023,0.217588
Jurf,05/01/2023,0.263396
Jurf,05/01/2023,0.263396
Jurf,05/01/2023,0.309204
Jurf,05/01/2023,0.4008199999999999
Jurf,05/01/2023,0.297752
Jurf,05/01/2023,0.251944
Jurf,05/01/2023,0.251944
Jurf,05/01/2023,0.2404919999999999
Jurf,05/01/2023,0.160328
Jurf,06/01/2023,0.137424
Jurf,06/01/2023,0.160328
Jurf,06/01/2023,0.2061359999999999
Jurf,06/01/2023,0.17178
Jurf,06/01/2023,0.17178
Jurf,06/01/2023,0.22904
Jurf,06/01/2023,0.2061359999999999
Jurf,06/01/2023,0.3321079999999999
Jurf,06/01/2023,0.309204
Jurf,06/01/2023,0.17178
Jurf,06/01/2023,0.2061359999999999
Jurf,06/01/2023,0.2061359999999999
Jurf,06/01/2023,0.251944
Jurf,06/01/2023,0.22904
Jurf,06/01/2023,0.22904
Jurf,06/01/2023,0.194684
Jurf,06/01/2023,0.183232
Jurf,06/01/2023,0.217588
Jurf,06/01/2023,0.263396
Jurf,06/01/2023,0.2863
Jurf,06/01/2023,0.22904
Jurf,06/01/2023,0.217588
Jurf,06/01/2023,0.217588
Jurf,06/01/2023,0.274848
Jurf,07/01/2023,0.217588
Jurf,07/01/2023,0.183232
Jurf,07/01/2023,0.148876
Jurf,07/01/2023,0.183232
Jurf,07/01/2023,0.17178
Jurf,07/01/2023,0.160328
Jurf,07/01/2023,0.160328
Jurf,07/01/2023,0.22904
Jurf,07/01/2023,0.297752
Jurf,07/01/2023,0.263396
Jurf,07/01/2023,0.251944
Jurf,07/01/2023,0.160328
Jurf,07/01/2023,0.183232
Jurf,07/01/2023,0.183232
Jurf,07/01/2023,0.137424
Jurf,07/01/2023,0.2404919999999999
Jurf,07/01/2023,0.217588
Jurf,07/01/2023,0.2404919999999999
Jurf,07/01/2023,0.297752
Jurf,07/01/2023,0.4122719999999999
Jurf,07/01/2023,0.5726
Jurf,07/01/2023,0.6756679999999999
Jurf,07/01/2023,0.7558320000000001
Jurf,07/01/2023,0.847448
Jurf,08/01/2023,0.97342
Jurf,08/01/2023,1.019228
Jurf,08/01/2023,0.91616
Jurf,08/01/2023,1.065036
Jurf,08/01/2023,0.996324
Jurf,08/01/2023,1.110844
Jurf,08/01/2023,1.156652
Jurf,08/01/2023,1.065036
Jurf,08/01/2023,0.7672840000000001
Jurf,08/01/2023,0.526792
Jurf,08/01/2023,0.309204
Jurf,08/01/2023,0.263396
Jurf,08/01/2023,0.217588
Jurf,08/01/2023,0.297752
Jurf,08/01/2023,0.2404919999999999
Jurf,08/01/2023,0.2061359999999999
Jurf,08/01/2023,0.2863
Jurf,08/01/2023,0.389368
Jurf,08/01/2023,0.5726
Jurf,08/01/2023,0.7787360000000001
Jurf,08/01/2023,0.8589
Jurf,08/01/2023,0.939064
Jurf,08/01/2023,0.97342
Jurf,08/01/2023,0.320656
Jurf,09/01/2023,0.274848
Jurf,09/01/2023,0.22904
Jurf,09/01/2023,0.355012
Jurf,09/01/2023,0.446628
Jurf,09/01/2023,0.6527639999999999
Jurf,09/01/2023,0.6756679999999999
Jurf,09/01/2023,0.950516
Jurf,09/01/2023,1.076488
Jurf,09/01/2023,0.927612
Jurf,09/01/2023,0.526792
Jurf,09/01/2023,0.377916
Jurf,09/01/2023,0.251944
Jurf,09/01/2023,0.2404919999999999
Jurf,09/01/2023,0.22904
Jurf,09/01/2023,0.251944
Jurf,09/01/2023,0.217588
Jurf,09/01/2023,0.194684
Jurf,09/01/2023,0.2061359999999999
Jurf,09/01/2023,0.355012
Jurf,09/01/2023,0.366464
Jurf,09/01/2023,0.423724
Jurf,09/01/2023,0.45808
Jurf,09/01/2023,0.584052
Jurf,09/01/2023,0.446628
Jurf,10/01/2023,0.4122719999999999
Jurf,10/01/2023,0.366464
Jurf,10/01/2023,0.355012
Jurf,10/01/2023,0.297752
Jurf,10/01/2023,0.355012
Jurf,10/01/2023,0.34356
Jurf,10/01/2023,0.251944
Jurf,10/01/2023,0.584052
Jurf,10/01/2023,0.595504
Jurf,10/01/2023,0.389368
Jurf,10/01/2023,0.251944
Jurf,10/01/2023,0.22904
Jurf,10/01/2023,0.22904
Jurf,10/01/2023,0.2863
Jurf,10/01/2023,0.251944
Jurf,10/01/2023,0.2863
Jurf,10/01/2023,0.263396
Jurf,10/01/2023,0.320656
Jurf,10/01/2023,0.34356
Jurf,10/01/2023,0.4008199999999999
Jurf,10/01/2023,0.377916
Jurf,10/01/2023,0.4008199999999999
Jurf,10/01/2023,0.51534
Jurf,10/01/2023,0.17178
Jurf,11/01/2023,0.148876
Jurf,11/01/2023,0.125972
Jurf,11/01/2023,0.125972
Jurf,11/01/2023,0.11452
Jurf,11/01/2023,0.11452
Jurf,11/01/2023,0.137424
Jurf,11/01/2023,0.148876
Jurf,11/01/2023,0.217588
Jurf,11/01/2023,0.183232
Jurf,11/01/2023,0.160328
Jurf,11/01/2023,0.194684
Jurf,11/01/2023,0.183232
Jurf,11/01/2023,0.194684
Jurf,11/01/2023,0.217588
Jurf,11/01/2023,0.2061359999999999
Jurf,11/01/2023,0.217588
Jurf,11/01/2023,0.274848
Jurf,11/01/2023,0.320656
Jurf,11/01/2023,0.389368
Jurf,11/01/2023,0.4122719999999999
Jurf,11/01/2023,0.435176
Jurf,11/01/2023,0.389368
Jurf,11/01/2023,0.4122719999999999
Jurf,11/01/2023,0.435176
Jurf,12/01/2023,0.51534
Jurf,12/01/2023,0.6184080000000001
Jurf,12/01/2023,0.51534
Jurf,12/01/2023,0.389368
Jurf,12/01/2023,0.320656
Jurf,12/01/2023,0.34356
Jurf,12/01/2023,0.561148
Jurf,12/01/2023,0.538244
Jurf,12/01/2023,0.6184080000000001
Jurf,12/01/2023,0.34356
Jurf,12/01/2023,0.2404919999999999
Jurf,12/01/2023,0.194684
Jurf,12/01/2023,0.194684
Jurf,12/01/2023,0.17178
Jurf,12/01/2023,0.160328
Jurf,12/01/2023,0.183232
Jurf,12/01/2023,0.183232
Jurf,12/01/2023,0.2404919999999999
Jurf,12/01/2023,0.34356
Jurf,12/01/2023,0.297752
Jurf,12/01/2023,0.297752
Jurf,12/01/2023,0.263396
Jurf,12/01/2023,0.389368
Jurf,12/01/2023,0.297752
Jurf,13/01/2023,0.297752
Jurf,13/01/2023,0.4122719999999999
Jurf,13/01/2023,0.2404919999999999
Jurf,13/01/2023,0.194684
Jurf,13/01/2023,0.2061359999999999
Jurf,13/01/2023,0.2404919999999999
Jurf,13/01/2023,0.22904
Jurf,13/01/2023,0.2863
Jurf,13/01/2023,0.34356
Jurf,13/01/2023,0.17178
Jurf,13/01/2023,0.160328
Jurf,13/01/2023,0.125972
Jurf,13/01/2023,0.137424
Jurf,13/01/2023,0.125972
Jurf,13/01/2023,0.148876
Jurf,13/01/2023,0.160328
Jurf,13/01/2023,0.17178
Jurf,13/01/2023,0.2061359999999999
Jurf,13/01/2023,0.320656
Jurf,13/01/2023,0.377916
Jurf,13/01/2023,0.263396
Jurf,13/01/2023,0.22904
Jurf,13/01/2023,0.217588
Jurf,13/01/2023,0.2061359999999999
Jurf,14/01/2023,0.183232
Jurf,14/01/2023,0.148876
Jurf,14/01/2023,0.194684
Jurf,14/01/2023,0.17178
Jurf,14/01/2023,0.194684
Jurf,14/01/2023,0.160328
Jurf,14/01/2023,0.137424
Jurf,14/01/2023,0.160328
Jurf,14/01/2023,0.22904
Jurf,14/01/2023,0.183232
Jurf,14/01/2023,0.148876
