Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,NOX,NO,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.
MUSHAIRIF,04/05/2023,23:00:00,5.96,,,11.87,13.86,1.99,,,54.5,,,,,,1.08,,,,,65.0,,,20.8263055,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,05/05/2023,00:00:00,6.59,,,20.19,22.040000000000003,1.85,,,42.41,,,,,,1.23,,,,,78.0,,,21.77037,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,05/05/2023,01:00:00,6.36,,,25.49,27.56,2.07,,,34.33,,,,,,1.0,,,,,84.0,,,26.7582,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,05/05/2023,02:00:00,6.24,,,43.16,45.42,2.26,,,23.47,,,,,,0.47,,,,,77.0,,,24.2652,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,05/05/2023,03:00:00,5.67,,,55.78,57.65,1.87,,,13.88,,,,,,0.26,,,,,69.0,,,18.336895,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,05/05/2023,04:00:00,5.02,,,63.36,67.48,4.12,,,13.63,,,,,,0.3,,,,,58.0,,,17.185343,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,05/05/2023,05:00:00,5.49,,,50.23,54.29,4.06,,,21.2,,,,,,0.56,,,,,60.0,,,17.47005,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,05/05/2023,06:00:00,5.17,,,49.33,53.3,3.97,,,15.64,,,,,,0.4,,,,,70.0,,,24.93,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,05/05/2023,07:00:00,5.04,,,61.34,71.5,10.16,,,12.36,,,,,,0.32,,,,,80.0,,,23.129500000000004,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,05/05/2023,08:00:00,5.42,,,46.0,62.36,16.36,,,19.92,,,,,,0.55,,,,,87.0,,,27.5892,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,05/05/2023,09:00:00,5.1,,,13.73,34.620000000000005,20.89,,,30.77,,,,,,0.85,,,,,79.0,,,25.761,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,05/05/2023,10:00:00,4.89,,,6.95,31.45,24.5,,,45.4,,,,,,0.65,,,,,76.0,,,25.4286,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,05/05/2023,11:00:00,5.25,,,6.52,21.27,14.75,,,59.27,,,,,,0.63,,,,,77.0,,,23.066370000000003,,,,,,,,,,,,,,,,,,,,
