Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.,DATA COUNT
Baniyas School,03/01/2023,17:00:00,4.62,,5.45,17.21,,57.35,93.45,,89.83,,,,,,,,,47.3,,45.48,19.2,,19.98,23.99,23.5,1019.1,51.21,331.93,4.67,3.76,,,,,,,,,62.56,,,
Baniyas School,03/01/2023,18:00:00,5.29,,5.45,19.03,,57.35,93.89,,95.71,,,,,,,,,47.8,,45.48,14.5,,19.98,22.45,22.46,1019.2,53.15,335.14,5.03,3.58,,,,,,,,,62.24,,,
Baniyas School,03/01/2023,19:00:00,4.82,,5.45,25.58,,57.35,99.16,,96.81,,,,,,,,,40.2,,45.48,10.9,,19.98,22.02,22.19,1019.6,53.56,338.4,4.17,3.07,,,,,,,,,61.86,,,
Baniyas School,03/01/2023,20:00:00,5.72,,5.45,44.57,,57.35,75.26,,93.82,,,,,,,,,32.3,,45.48,11.0,,19.98,21.56,21.94,1019.9,55.1,348.38,2.44,3.51,,,,,,,,,56.27,,,
Baniyas School,03/01/2023,21:00:00,5.41,,5.45,59.45,,57.35,58.12,,88.52,,,,,,,,,32.0,,45.48,10.1,,19.98,21.18,21.65,1019.7,58.29,348.52,1.94,3.27,,,,,,,,,52.84,,,
Baniyas School,03/01/2023,22:00:00,6.03,,5.45,89.68,,57.35,22.38,,79.46,,,,,,,,,42.1,,45.48,14.9,,19.98,20.66,21.32,1019.6,61.0,336.31,1.48,3.18,,,,,,,,,52.81,,,
Baniyas School,03/01/2023,23:00:00,6.76,,5.45,92.58,,57.35,13.86,,68.71,,,,,,,,,41.6,,45.48,18.6,,19.98,20.14,20.88,1019.3,63.51,347.29,1.32,3.69,,,,,,,,,52.28,,,
Baniyas School,04/01/2023,00:00:00,4.78,,5.34,100.82,,63.48,4.98,,57.64,,,,,,,,,32.8,,61.9,18.7,,19.18,19.79,20.64,1018.9,62.87,346.02,1.23,3.87,,,,,,,,,51.79,,,
Baniyas School,04/01/2023,01:00:00,5.23,,5.34,94.48,,63.48,5.63,,46.66,,,,,,,,,25.2,,61.9,21.1,,19.18,19.04,20.1,1018.5,62.41,334.85,1.5,3.6,,,,,,,,,51.0,,,
Baniyas School,04/01/2023,02:00:00,6.15,,5.34,89.01,,63.48,4.98,,35.55,,,,,,,,,33.7,,61.9,18.6,,19.18,18.41,19.38,1018.0,59.39,350.3,1.34,3.92,,,,,,,,,50.79,,,
Baniyas School,04/01/2023,03:00:00,8.42,,5.34,85.17,,63.48,6.32,,23.94,,,,,,,,,46.1,,61.9,16.2,,19.18,18.02,18.74,1017.8,56.54,348.35,2.01,4.31,,,,,,,,,50.56,,,
