vlookup,SO2,NO2,Daily_Avg_8h_WHO,Daily_Avg_8h_NS,Daily_Avg_8h_C0,PM10,PM2.5
AL Ma09112023,3.9,35.6,,,,55.2,15.7
AL Ma10112023,4.4,37.3,,,,58.2,16.1
AL Ma11112023,5.5,46.9,,,,69.0,27.7
AL Ma12112023,5.2,45.3,,,,40.6,9.6
AL Ma13112023,4.4,50.9,,,,50.4,17.8
AL Ma14112023,4.8,51.7,,,,55.7,19.4
AL Ma15112023,3.9,34.3,,,,24.0,6.1
AL Ma16112023,3.6,15.4,,,,37.0,11.2
AL Ma17112023,5.1,32.6,,,,44.6,20.2
AL Ma18112023,4.1,41.2,,,,32.3,11.1
AL Ma19112023,3.9,36.3,,,,23.1,7.8
AL Ma20112023,3.6,28.6,,,,48.5,17.4
AL Ma21112023,4.3,19.7,,,,30.4,10.1
AL Ma22112023,4.0,31.2,,,,47.8,18.2
AL Ma23112023,5.3,28.5,,,,48.2,19.8
AL Ma24112023,4.6,39.1,,,,34.2,8.5
AL Ma25112023,4.8,31.3,,,,35.3,10.2
AL Ma26112023,4.5,19.8,,,,47.7,16.4
AL Ma27112023,3.8,35.2,,,,33.0,7.7
AL Ma28112023,4.4,53.1,,,,44.6,12.3
AL Ma29112023,4.5,35.5,,,,46.8,9.8
AL Ma30112023,3.8,46.0,,,,50.4,23.0
AL Ma01122023,5.9,46.1,,,,50.9,13.9
AL Ma02122023,5.7,44.1,,,,49.4,13.4
AL Ma03122023,5.3,36.9,,,,57.4,19.1
AL Ma04122023,5.7,31.7,,,,72.3,21.9
AL Ma05122023,5.6,34.4,,,,76.8,24.1
AL Ma06122023,5.7,35.7,,,,99.9,30.4
AL Ma07122023,4.9,37.6,,,,68.3,19.3
AL Ma08122023,6.0,50.6,,,,68.0,20.0
AL Ma09122023,5.1,59.9,,,,61.1,19.0
AL Ma10122023,5.4,57.6,,,,88.1,33.5
AL Ma11122023,7.5,55.6,,,,81.1,29.5
AL Ma12122023,5.0,41.3,,,,80.0,30.2
AL Ma13122023,7.2,37.3,,,,66.3,16.3
AL Ma14122023,5.3,16.4,,,,50.1,21.2
AL Ma15122023,7.1,12.3,,,,31.1,10.7
AL Ma16122023,7.7,27.0,,,,41.8,15.2
AL Ma17122023,5.3,28.1,,,,44.7,17.2
AL Ma18122023,5.0,32.7,,,,35.2,11.5
AL Ma19122023,5.1,32.7,,,,40.8,15.7
AL Ma20122023,5.0,33.1,,,,56.2,22.2
AL Ma21122023,5.3,22.5,,,,59.1,26.5
AL Ma22122023,6.6,44.8,,,,75.4,27.6
AL Ma23122023,5.5,50.6,,,,60.6,25.0
AL Ma24122023,6.4,49.1,,,,66.5,23.6
AL Ma25122023,4.9,37.4,,,,51.3,19.9
AL Ma26122023,4.7,49.1,,,,47.6,28.1
AL Ma27122023,5.1,37.7,,,,38.2,29.5
AL Ma28122023,5.4,40.3,,,,52.1,24.3
AL Ma29122023,5.2,47.6,,,,45.3,12.6
AL Ma30122023,4.1,40.6,,,,46.0,14.3
AL Ma31122023,5.1,43.4,,,,51.4,19.7
Al Ha01012023,6.0,35.5,,,,28.9,6.5
Al Ha02012023,6.9,32.5,,,,41.4,10.6
Al Ha03012023,5.5,27.9,27.4,27.4,,37.3,9.6
Al Ha04012023,7.2,20.2,31.2,31.2,,39.8,10.7
Al Ha05012023,7.7,25.2,34.0,34.0,,68.7,18.5
Al Ha06012023,8.0,30.8,21.3,21.3,,28.9,7.4
